A1.jpg --> H1=0.16948693651; H2=0.00014147545596; H3=0.0220640136488; H4=2.04107036152; H5=0.074728425307; H6=0.00660370062471; H7=-1.50156876653
A2.jpg --> H1=0.170470771977; H2=0.000193266123147; H3=0.040506809142; H4=2.797850315; H5=0.187782712041; H6=0.0121667101118; H7=-3.25462007743
A3.jpg --> H1=0.186601478377; H2=0.00125161439744; H3=0.874354578524; H4=12.5204426224; H5=17.7342586772; H6=0.277951227646; H7=136.113582809
A4.jpg --> H1=0.166973777463; H2=1.58318687683e-05; H3=0.000283687800772; H4=0.222694923606; H5=0.000105233444676; H6=8.41360731954e-05; H7=-0.00618822788552
A5.jpg --> H1=0.166727887158; H2=4.0869130788e-06; H3=1.83695206706e-05; H4=0.0555739229774; H5=1.70111897607e-06; H6=5.44312086528e-06; H7=0.000196470375664
A6.jpg --> H1=0.171587448696; H2=0.000253822193241; H3=0.0685056283231; H4=3.68367857914; H5=0.417436866539; H6=0.0206593368988; H7=-6.37073936698
E1.jpg --> H1=0.186569996963; H2=0.0012488718835; H3=1.00187711038; H4=14.3701430307; H5=23.3241305441; H6=0.318463142793; H7=-179.173119632
E2.jpg --> H1=0.189064064064; H2=0.00144737329923; H3=1.28913057201; H4=16.6263807752; H5=34.6117323468; H6=0.413289098754; H7=-251.103364977
E3.jpg --> H1=0.169490142316; H2=0.000142165243378; H3=0.0153942703848; H4=1.41737603947; H5=0.036204975583; H6=0.00460720152275; H7=0.725777827967
E4.jpg --> H1=0.177861685215; H2=0.000629442158421; H3=0.297954273097; H4=7.27969572874; H5=3.55559790419; H6=0.0918802710057; H7=-36.1752342903
E5.jpg --> H1=0.172791694133; H2=0.000321558917633; H3=0.0854894800262; H4=3.7153447481; H5=0.524464217472; H6=0.0258917643253; H7=-7.18033484864
E6.jpg --> H1=0.191676566677; H2=0.00166537408982; H3=1.63353023326; H4=19.0989707187; H5=50.2143182646; H6=0.528378040747; H7=-345.402858358
I1.jpg --> H1=0.219172057655; H2=0.00458553575095; H3=6.62545454042; H4=41.5938830894; H5=429.945284888; H6=2.34421031562; H7=-2080.79607309
I2.jpg --> H1=0.177053571429; H2=0.000577965561224; H3=0.228196747449; H4=5.98232461735; H5=2.24036019957; H6=0.0701671402378; H7=-23.6441799804
I3.jpg --> H1=0.173473748474; H2=0.000360903511087; H3=0.0951468555864; H4=3.73333392967; H5=0.585946225493; H6=0.0288863940061; H7=-7.61320864169
I4.jpg --> H1=0.167661448141; H2=4.97207233428e-05; H3=0.00198577120377; H4=0.503552597503; H5=0.00166380849465; H6=0.000590377856833; H7=-0.0555378653204
I5.jpg --> H1=0.244883040936; H2=0.00834855964016; H3=16.4646369934; H4=76.7524635906; H5=1924.79864882; H6=6.29916489794; H7=-7765.82026101
I6.jpg --> H1=0.166934189406; H2=1.3781790142e-05; H3=0.0002470965206; H4=0.22263396506; H5=9.16415719436e-05; H6=7.32748073631e-05; H7=-0.00577382648902
O1.jpg --> H1=0.192948918019; H2=0.00177539898591; H3=1.72108074557; H4=19.2602019221; H5=53.267268505; H6=0.559094036941; H7=-357.742114045
O2.jpg --> H1=0.182077205882; H2=0.000915333044983; H3=0.49223615917; H4=8.91967587587; H5=7.15551094661; H6=0.154045903804; H7=-62.2471932923
O3.jpg --> H1=0.17763323278; H2=0.000615047700765; H3=0.241225282606; H4=6.0065611776; H5=2.37590786841; H6=0.0743243798272; H7=-24.4129815221
O4.jpg --> H1=0.182224922669; H2=0.000926268616599; H3=0.417871005441; H4=7.50239941707; H5=5.10814558787; H6=0.130835201896; H7=-44.2208138915
O5.jpg --> H1=0.211756822612; H2=0.00368518497738; H3=5.60844923772; H4=39.752973035; H5=350.560698335; H6=1.93824988895; H7=-1821.5450212
O6.jpg --> H1=0.207025117739; H2=0.00315458579882; H3=4.1466068787; H4=32.1769403227; H5=210.881333508; H6=1.41131194483; H7=-1154.37168601
U1.jpg --> H1=0.195228936802; H2=0.00197765412595; H3=3.14558755332; H4=32.7439008915; H5=165.053987347; H6=1.02977933131; H7=1065.27614334
U2.jpg --> H1=0.229776651652; H2=0.00601539364886; H3=14.7586026925; H4=80.470028137; H5=1833.72658606; H6=5.39668409074; H7=8154.28671797
U3.jpg --> H1=0.240018865019; H2=0.00755887174156; H3=19.813710939; H4=96.7119816726; H5=2931.11628299; H6=7.47247597255; H7=12173.2148096
U4.jpg --> H1=0.187271510641; H2=0.00130305409773; H3=1.6656831633; H4=23.1663122752; H5=62.4592827557; H6=0.530773314385; H7=471.924404819
U5.jpg --> H1=0.251353327011; H2=0.00945162975187; H3=26.2714715502; H4=115.864832564; H5=4611.43136477; H6=10.2430117536; H7=17957.7892428
U6.jpg --> H1=0.166717541718; H2=3.39550069912e-06; H3=1.52648447062e-05; H4=0.0555708189508; H5=1.41357550651e-06; H6=4.52312406328e-06; H7=-0.000179093300469
